,category,titles,pageids
0,Arts & Entertainment,"['Alchemy in art and entertainment', 'Entertainment technology', 'Entertainment', 'Entertainment journalism', 'Entertainment law', 'Fine art', 'Video art', 'Video games as an art form', 'Contemporary art', 'History of art', 'Endurance art', 'Entertainment management', 'Mobile entertainment', 'Entertainment Industries', 'Surveillance art', 'Best of Microsoft Entertainment Pack', 'Interactive art', 'Entertainment robot', 'World Entertainment News Network', 'Entertainment Corridor', 'The One Club', 'TLA Entertainment Group', 'Arts festival', 'Looted art', 'Muvico Theatres', 'Psychology of art', 'Impalement in myth and art', 'Suncoast Casino and Entertainment World', 'Transgressive art', 'Multimedia', 'Performing arts', 'Creation Entertainment', 'RampART', 'Juicy', 'Themed Entertainment Association', 'Lux Aeterna Theatre', 'Lighting technician', 'Perfect Entertainment', 'Brainstorm NW', 'Cobden Club']","['10619519', '4265080', '347209', '23234266', '6466464', '63380', '10569801', '16093772', '9262', '23971645', '27773866', '15528045', '216003', '8957966', '1451221', '3720589', '90317', '18985263', '41520090', '148121', '5134811', '377436', '7208744', '54542037', '14919220', '20420', '1656306', '12502467', '22938', '8165347', '4034653', '4603230', '22576725', '13313526', '10450164', '2854621', '653401', '32622', '7763396', '18077978']"
1,Arts & Entertainment>Celebrities & Entertainment News,"['Entertainment journalism', 'Entertainment Weekly', 'Celebrity sex tape', 'Celebrity worship syndrome', 'Outline of entertainment', 'News', 'Ici Paris', 'African Entertainment', 'Celebrity Juice', 'Kids News Network', 'Entertainment Spotlight', 'Showbiz Tonight', 'Daytime Emmy Award for Outstanding Entertainment News Program', 'News Corporation', 'Celebrity Poker Showdown', 'Naked News', 'Celebrity photography', 'Donegal News', 'Syco', 'Famous for being famous', 'Entertainment Live', 'Fake news', 'Declan Donnelly', 'Gossip columnist', 'Celebrity Nightmares Decoded', 'News satire', 'Hollywood marriage', 'Creation Entertainment', 'Use of Twitter by public figures', 'Press Association', 'Junk food news', 'Celebrities Uncensored', 'Bloginity', 'News values', 'Have I Got News for You', 'KTLA Morning News', 'Entertainment Studios Networks', 'WhoSay', 'Calcutta Times', 'Hard Copy']","['53864479', '30661703', '998439', '342045', '19798769', '28870380', '972209', '2722576', '623515', '5693654', '10569801', '53128367', '464849', '6762740', '12558350', '6031640', '24005003', '541239', '15528045', '52881503', '9396685', '100065', '1806240', '142172', '2447674', '32451772', '179491', '5631481', '1159605', '21813', '20781999', '113422', '1771987', '505170', '9988', '1300449', '4525098', '11981309', '36007133', '44574823']"
2,Arts & Entertainment>Comics & Animation,"['Motion comic', 'History of animation', 'Limited animation', 'Flash animation', 'Traditional animation', 'Disney Television Animation', 'Daewon Media', 'Cartoonist', 'Original video animation', 'Comic book convention', '20th Century Fox Animation', 'Model sheet', 'Weekly Comic Book Review', 'Superheroes in animation', 'Pinscreen animation', 'Mobile comic', 'Stop motion', 'National Cartoon Museum', 'Webcomic', 'The Cartoon Museum', 'Saban Entertainment', 'MCM London Comic Con', 'Massstar', 'Glossary of comics terminology', 'Timeline of computer animation in film and television', 'Phoenix Comicon', 'Wildcat Comic Con', 'Comics', 'Cel shading', 'Moomins on the Riviera', 'Milt Gross', 'Storyboard', 'Titan Books', 'Isao Takahata', 'House style', 'Hamatora', 'Gotham Girls', 'Kerberos saga', 'Rasmus Klump', 'Creative Impulse Entertainment']","['3303873', '184579', '697990', '49280474', '145443', '40854163', '2785187', '2157619', '1649198', '34586156', '2330697', '40674207', '323858', '916183', '215912', '6806800', '76973', '29470292', '46602901', '4248798', '8297639', '1163829', '42606529', '21891124', '19203474', '113012', '21414261', '440571', '3049097', '2873449', '27036', '68459', '2601614', '4358628', '747985', '1146708', '498464', '161176', '27637290', '38274014']"
3,Arts & Entertainment>Comics & Animation>Anime & Manga,"['Anime and manga fandom', 'Animerica', 'Manga cafe', 'Elfen Lied', 'Hoshin Engi', 'From Impressionism To Anime', 'Crunchyroll Manga', 'Lolicon', 'Anime Festival Wichita', 'Bakuman', 'Original video animation', 'Astro Boy', 'Tenjho Tenge', 'Haruhi Suzumiya', 'Saint Tail', 'Ecchi', 'The Comic Artist and His Assistants', 'Rave Master', 'NOiSE', 'FLCL', 'Fruits Basket']","['8589052', '22330602', '924661', '208392', '18779590', '40901656', '112658', '1027922', '173330', '25228508', '149175', '11500693', '925115', '419038', '1024526', '2976980', '113012', '558544', '1956059', '671287', '41269258']"
4,Arts & Entertainment>Comics & Animation>Cartoons,"['Cartoon', 'Editorial cartoon', 'Cartoon pornography', 'Cartoon physics', 'Animated cartoon', 'The Big Cartoon DataBase', 'Cartoon violence', 'Cartoon studio', 'Gag cartoon', 'Cartoon Network Racing', 'Animated series', 'Weekday cartoon', 'Cartoonist', 'Flash animation', 'World War II political cartoons', 'Cartoon Network Hindi', 'Cartoonito', 'Older versions of cartoon characters', 'Geo Cartoon', 'Legal status of drawn pornography depicting minors', 'Walt Disney Cartoon Classics', 'Cartoon war', 'Mighty Mouse', 'Toonami', 'Editorial cartoonist', 'Planet Simpson', 'Cartoon Campaign For Freedom', 'Hoppity Hooper', 'Funny animal', 'Merrie Melodies', 'Portable hole', 'Beaky Buzzard', 'The Great Grape Ape Show', 'Animated political cartoons', 'Glossary of comics terminology', 'Class of 3000', 'Friz Freleng', 'Adult animation', 'Speedy Gonzales', 'Looney Tunes and Merrie Melodies filmography']","['1939093', '36702', '4576628', '235604', '6323652', '7165', '54372280', '54067399', '9345865', '538206', '3072072', '39030824', '26778610', '3940621', '184579', '7047627', '5122994', '205534', '205531', '1649198', '197469', '19009024', '1871594', '32906431', '34586156', '556416', '21347867', '99146', '199608', '99305', '2183052', '9410972', '1339868', '102403', '25045704', '30862791', '654696', '3608584', '3677836', '32154010']"
5,Arts & Entertainment>Comics & Animation>Comics,"['Comics', 'Comic book', 'Comic strip', 'Comic book convention', 'Comic book collecting', 'Comic opera', 'Comic Book Resources', 'Comic book archive', 'Comic relief', 'Comic strip formats', 'Comic magazine', 'Overstreet Comic Book Price Guide', 'Motion comic', 'Comic book death', 'Hulk Comic', 'Comic Relief Does Fame Academy', 'Comic fantasy', 'Comic book price guide', 'Comic Seer', 'Comic science fiction', 'Cartoonist', 'London Film and Comic Con', 'MCM London Comic Con', 'Glossary of comics terminology', 'Comics artist', 'Webcomic', 'Monthly Comic Zero Sum', 'Hogarth Painting the Comic Muse', 'Mobile comic', 'Tragic Comic', 'Comic Perversion', 'Comic ballet', 'Daily comic strip', 'Second Doctor comic stories', 'Comic timing', 'Rage comic', 'Comiket', 'Print syndication', 'First Doctor comic stories', 'Underground comix']","['184579', '6221120', '53779328', '9878828', '37066853', '2338787', '6231', '6609334', '1181663', '49280474', '1148117', '1868071', '7574', '65941', '690708', '313034', '66047', '5704', '7997317', '505966', '145443', '2215270', '722467', '1979631', '38051317', '34586156', '18339199', '2801421', '18510989', '29470292', '8297639', '10288434', '21891124', '1867989', '327788', '33146726', '54596593', '19079299', '92536', '161176']"
6,Arts & Entertainment>Entertainment Industry,"['Outline of entertainment', 'Sex industry', 'Entertainment', 'Video game industry', 'Entertainment law', 'Family entertainment center', 'Entertainment journalism', 'Entertainment Industries', 'Entertainment Merchants Association', 'Outline of industry', 'Entertainment management', 'Entertainment industry during World War II', 'Music industry', 'Mobile entertainment', 'Entertainment Weekly', 'Cultural industry', 'ABC Entertainment', 'Entertainment Tonight', '19 Entertainment', 'Film industry', 'Box Office Entertainment Awards', 'Industry', 'Quaternary sector of the economy', 'Music Industry Arts', 'Acclaim Entertainment', 'PolyGram Entertainment', 'Entertainment for All', 'Computer Entertainment Rating Organization', 'Mystic Entertainment', 'GfK Entertainment Charts', 'Lionsgate Home Entertainment', 'Light industry', 'Cavedog Entertainment', 'Commonwealth United Entertainment', 'Reliance Entertainment', 'Hokkien entertainment media', 'Gaiam Vivendi Entertainment', 'European industry federation', 'Educational entertainment', 'One sheet']","['24143852', '2772172', '311490', '42199519', '305598', '37085569', '1752591', '1152274', '217777', '9262', '27773866', '6313394', '642597', '541239', '8780694', '34202871', '15528045', '216003', '8957966', '2312537', '2529054', '649481', '24620905', '6170448', '52625181', '14543', '1659180', '2772473', '14919220', '3028137', '1946204', '42291975', '6708037', '9988', '6587138', '692891', '602616', '18100698', '20603860', '372478']"
7,Arts & Entertainment>Entertainment Industry>Film & TV Industry,"['Film industry', 'TV Parental Guidelines', 'Television film', 'Food industry', 'Flashpoint Film Festival', 'TV Guide', 'Nordisk Film', 'SPAA Fringe', 'Film studies', 'International Film Institute', 'Film distributor', 'Panafrican Film and Television Festival of Ouagadougou', 'Star Maa', 'Film promotion', 'TV Land', 'Television', 'Film criticism', 'Short film', 'The Bottle Yard Studios', 'Music industry', 'Sponsored film', 'Dodge College of Film and Media Arts', 'Sarajevo Film Festival', 'StoryBoard Quick', 'Boxer TV Access', 'MediaPro Studios', 'Timeline of computer animation in film and television', 'International Academy of Film and Television', 'Cosmote TV', 'Sex in film', '35 mm film', 'Star Cinema', 'Silent film', 'Kartuli Pilmi', 'Film still', 'Atlantic Film Festival', 'Macquarie Film Corporation', 'Hybrid Broadcast Broadband TV', 'Cannes Film Festival', 'Film4oD']","['46203', '6144074', '697308', '101460', '33458393', '34900439', '32706134', '11065202', '1870213', '649481', '20460', '5653527', '954079', '17628156', '2437974', '24197892', '18444306', '23193805', '23223961', '36637630', '12296454', '1946204', '1024421', '1830664', '22938546', '751330', '30876301', '498104', '26956', '11438604', '2652260', '11580743', '21272531', '188834', '783778', '2260940', '29831', '164342', '43999992', '747985']"
8,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Awards,"['Television film', 'Sab Ke Anokhe Awards', 'Asianet Film Awards', 'Boroplus Gold Awards', '25th Academy Awards', 'PMPC Star Awards for Television', 'International Indian Film Academy Awards', 'The Official Star Wars Fan Film Awards', 'Udaya Film Awards', 'National Film Award for Best Feature Film in Kannada', 'CAMIE Awards', 'National Film Award for Best Film on Social Issues', 'ARY Film Awards', 'Altazor Award', 'Nollywood and African Film Critics Awards', 'Ragnar Bragason', 'Sexual Freedom Awards', 'Asian Television Awards', '11th IIFA Awards', 'Teen Choice Awards', 'Teen Choice Award for Choice TV Actress Action', 'Teen Choice Award for Choice TV Actor Action', 'AVN Award', 'Nordisk Film']","['27691739', '1625017', '42399818', '1856911', '26910239', '2794268', '17695642', '54559870', '17928876', '3992437', '4744863', '4748116', '43309183', '1024421', '29350604', '21717863', '41085200', '19467509', '43095691', '43096388', '1506928', '164342', '1181000', '33892348']"
9,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Production,"['Kemps Film and TV Production Services Handbook', 'Production designer', 'Television film', 'Filmmaking', 'Film producer', 'The Bottle Yard Studios', 'Tsuburaya Productions', 'Television studio', 'Universal Television', 'Film and TV School of the Academy of Performing Arts in Prague', 'Video production', 'Dragonfly Film and Television Productions', 'Film still', 'Apple Film Production', 'National Film and Television School', 'Flashpoint Film Festival', 'Television program', 'Tiger Aspect Productions', 'Back to back film production', 'Television crew', 'Shepperton Studios', 'Nu Boyana Film Studios', 'Short film', 'SLR Productions', 'Film finance', 'Playboy TV', 'Star Trek fan productions', 'Educational film', 'Film', 'Here TV', 'Disney Television Animation', 'Kartuli Pilmi', 'Entertainment Rights', 'Film studies', 'Dodge College of Film and Media Arts', 'Film industry', 'Pinewood Studios', 'Suroyo TV', 'Audiography', 'Hasbro Studios']","['22873066', '22708893', '22428249', '2157619', '34900439', '38706992', '1398768', '3064129', '21555729', '15753881', '4447666', '649481', '211405', '5653527', '954079', '933117', '17628156', '31985824', '4743708', '23223961', '7757061', '408128', '6437494', '75376', '2447607', '555539', '24625987', '21621392', '498104', '3871571', '9558058', '2350364', '164342', '19508643', '1555089', '43999992', '1800164', '2040302', '959389', '1553972']"
